"","Club_Name","Club_Venue_Address","Club_Venue_Suburb","Club_Venue_State","Club_Venue_Postcode","Club_Venue_Email","Club_Venue_Latitude.","Club_Venue_Longitude","Club_Venue_Sports","Club_Venue_Website","Creation_Date"
"483","Waikerie Netball Club","24 BLAKE ROAD","WAIKERIE","SA",5330,"waikerienetballclub@hotmail.com",-34.18468,139.97464,"Netball","https://www.facebook.com/waikerie.netballc",1997-03-16
"484","Millicent Squash Club","15 WILLIAMS ROAD","MILLICENT","SA",5280,"ron.r.wood@bigpond.com",-37.60347,140.35802,"Squash","",1997-05-21
"485","World Taekwondo/Oriental Sports Academy","221-239 STURT STREET","ADELAIDE","SA",5000,"info@worldtaekwondo.com.au",-34.93385,138.59021,"Taekwondo","www.worldtaekwondo.com.au",1966-03-15
"486","World Taekwondo/Oriental Sports Academy","214-258 WAKEFIELD STREET","ADELAIDE","SA",5000,"info@worldtaekwondo.com.au",-34.92772,138.60936,"Taekwondo","www.worldtaekwondo.com.au",1990-11-22
"487","World Taekwondo/Oriental Sports Academy","121 BLACK ROAD","FLAGSTAFF HILL","SA",5159,"info@worldtaekwondo.com.au",-35.04864,138.58521,"Taekwondo","www.worldtaekwondo.com.au",1960-08-17
"488","World Taekwondo/Oriental Sports Academy","100-108 BOTTING STREET","ALBERT PARK","SA",5014,"info@worldtaekwondo.com.au",-34.88064,138.52095,"Taekwondo","www.worldtaekwondo.com.au",1967-06-04
"489","World Taekwondo/Oriental Sports Academy","21 COROMANDEL PARADE","BLACKWOOD","SA",5051,"info@worldtaekwondo.com.au",-35.02286,138.61843,"Taekwondo","www.worldtaekwondo.com.au",1959-06-27
"490","World Taekwondo/Oriental Sports Academy","65 STURT ROAD","BRIGHTON","SA",5048,"info@worldtaekwondo.com.au",-35.01916,138.53097,"Taekwondo","www.worldtaekwondo.com.au",1958-08-01
"491","World Taekwondo/Oriental Sports Academy","486 GLYNBURN ROAD","BURNSIDE","SA",5066,"info@worldtaekwondo.com.au",-34.93538,138.66035,"Taekwondo","www.worldtaekwondo.com.au",2003-03-20
"492","Millicent Golf Club","352 GOLF COURSE ROAD","MOUNT BURR","SA",5279,"millicentgolfclub5@bigpond.com",-37.56985,140.46084,"Golf","www.millicentgolfclub.com.au",1993-05-10
"493","World Taekwondo/Oriental Sports Academy","379 CALLINGTON ROAD","CALLINGTON","SA",5254,"info@worldtaekwondo.com.au",-35.13866,139.02907,"Taekwondo","www.worldtaekwondo.com.au",1973-06-19
"494","World Taekwondo/Oriental Sports Academy","607 LOWER NORTH EAST ROAD","CAMPBELLTOWN","SA",5074,"info@worldtaekwondo.com.au",-34.87932,138.66221,"Taekwondo","www.worldtaekwondo.com.au",1999-12-18
"495","World Taekwondo/Oriental Sports Academy","LOT 20 MAIN STREET","CRAFERS","SA",5152,"info@worldtaekwondo.com.au",-34.99772,138.70324,"Taekwondo","www.worldtaekwondo.com.au",1963-09-05
"496","World Taekwondo/Oriental Sports Academy","310 TORRENS ROAD","CROYDON PARK","SA",5008,"info@worldtaekwondo.com.au",-34.88257,138.56149,"Taekwondo","www.worldtaekwondo.com.au",1982-09-02
"497","World Taekwondo/Oriental Sports Academy","222 FINDON ROAD","FINDON","SA",5023,"info@worldtaekwondo.com.au",-34.89754,138.53152,"Taekwondo","www.worldtaekwondo.com.au",1997-08-06
"498","World Taekwondo/Oriental Sports Academy","LOT 1037 AEOLIAN DRIVE","GOLDEN GROVE","SA",5125,"info@worldtaekwondo.com.au",-34.79009,138.69329,"Taekwondo","www.worldtaekwondo.com.au",1984-10-22
"499","World Taekwondo/Oriental Sports Academy","LOT 765 THE GOLDEN WAY","GOLDEN GROVE","SA",5125,"info@worldtaekwondo.com.au",-34.7776,138.71105,"Taekwondo","www.worldtaekwondo.com.au",1981-05-10
"500","World Taekwondo/Oriental Sports Academy","LOT 45 MAIN STREET","HAHNDORF","SA",5245,"info@worldtaekwondo.com.au",-35.02863,138.80929,"Taekwondo","www.worldtaekwondo.com.au",1973-12-13
"501","World Taekwondo/Oriental Sports Academy","1 GLEDSDALE ROAD","HALLETT COVE","SA",5158,"info@worldtaekwondo.com.au",-35.07784,138.50999,"Taekwondo","www.worldtaekwondo.com.au",1969-06-08
"502","World Taekwondo/Oriental Sports Academy","378 SEAVIEW ROAD","HENLEY BEACH","SA",5022,"info@worldtaekwondo.com.au",-34.91697,138.49412,"Taekwondo","www.worldtaekwondo.com.au",1957-02-21
"503","World Taekwondo/Oriental Sports Academy","25 CULROSS AVENUE","MYRTLE BANK","SA",5064,"info@worldtaekwondo.com.au",-34.95818,138.62622,"Taekwondo","www.worldtaekwondo.com.au",1984-06-10
"504","World Taekwondo/Oriental Sports Academy","UNIT 2 2 BAKER STREET","LITTLEHAMPTON","SA",5250,"info@worldtaekwondo.com.au",-35.05013,138.86539,"Taekwondo","www.worldtaekwondo.com.au",1987-08-24
"505","World Taekwondo/Oriental Sports Academy","247 MAWSON LAKES BOULEVARD","MAWSON LAKES","SA",5095,"info@worldtaekwondo.com.au",-34.81585,138.60748,"Taekwondo","www.worldtaekwondo.com.au",1982-08-18
"506","World Taekwondo/Oriental Sports Academy","396 WRIGHT ROAD","MODBURY","SA",5092,"info@worldtaekwondo.com.au",-34.83429,138.66873,"Taekwondo","www.worldtaekwondo.com.au",1975-09-10
"507","World Taekwondo/Oriental Sports Academy","5 GAWLER STREET","MOUNT BARKER","SA",5251,"info@worldtaekwondo.com.au",-35.06739,138.85734,"Taekwondo","www.worldtaekwondo.com.au",1967-02-06
"508","World Taekwondo/Oriental Sports Academy","4 MALTARRA ROAD","MUNNO PARA","SA",5115,"info@worldtaekwondo.com.au",-34.67556,138.69536,"Taekwondo","www.worldtaekwondo.com.au",1950-07-07
"509","World Taekwondo/Oriental Sports Academy","29 GRAND JUNCTION ROAD","ROSEWATER","SA",5013,"info@worldtaekwondo.com.au",-34.85172,138.51536,"Taekwondo","www.worldtaekwondo.com.au",2005-08-05
"510","World Taekwondo/Oriental Sports Academy","3 BALFOUR STREET","NAILSWORTH","SA",5083,"info@worldtaekwondo.com.au",-34.88352,138.60363,"Taekwondo","www.worldtaekwondo.com.au",1971-06-01
"511","World Taekwondo/Oriental Sports Academy","UNIT 1-6 3 CHURCH STREET","SALISBURY","SA",5108,"info@worldtaekwondo.com.au",-34.76375,138.64562,"Taekwondo","www.worldtaekwondo.com.au",1966-03-23
"512","World Taekwondo/Oriental Sports Academy","LOT 160 BAGSTER ROAD","SALISBURY NORTH","SA",5108,"info@worldtaekwondo.com.au",-34.75578,138.63119,"Taekwondo","www.worldtaekwondo.com.au",1984-07-24
"513","World Taekwondo/Oriental Sports Academy","200 MILITARY ROAD","SEMAPHORE","SA",5019,"info@worldtaekwondo.com.au",-34.83975,138.48402,"Taekwondo","www.worldtaekwondo.com.au",1993-07-26
"514","World Taekwondo/Oriental Sports Academy","24 ST PETERS STREET","ST PETERS","SA",5069,"info@worldtaekwondo.com.au",-34.90622,138.61823,"Taekwondo","www.worldtaekwondo.com.au",1984-06-06
"515","World Taekwondo/Oriental Sports Academy","17 KIDNEY STREET","URAIDLA","SA",5142,"info@worldtaekwondo.com.au",-34.95902,138.7434,"Taekwondo","www.worldtaekwondo.com.au",1985-09-19
"516","World Taekwondo/Oriental Sports Academy","159 STEPHEN TERRACE","WALKERVILLE","SA",5081,"info@worldtaekwondo.com.au",-34.89473,138.61212,"Taekwondo","www.worldtaekwondo.com.au",1955-10-10
"517","World Taekwondo/Oriental Sports Academy","386 GOODWOOD ROAD","CUMBERLAND PARK","SA",5041,"info@worldtaekwondo.com.au",-34.96941,138.59019,"Taekwondo","www.worldtaekwondo.com.au",1975-08-20
"518","West Hockey Club","200 JUBILEE HIGHWAY EAST","MOUNT GAMBIER","SA",5290,"hockeysk@internode.on.net",-37.84405,140.81928,"Hockey","",1963-12-18
"519","Renmark Olympic Soccer Club","LOT 98 RAL RAL AVENUE","RENMARK","SA",5341,"tkvandyk@bigpond.com",-34.168,140.74327,"Football (Soccer)","",1993-01-07
"520","Central Eyre Netball Club","54 BEDFORD ROAD","KYANCUTTA","SA",5651,"bethm.sampson@bigpond.com",-33.12893,135.55937,"Netball","www.centraleyre.netball.sa.au",2005-11-09
"521","Central Eyre Netball Club","58 CLUB ROAD","WARRAMBOO","SA",5650,"bethm.sampson@bigpond.com",-33.2382,135.59949,"Netball","www.centraleyre.netball.sa.au",1974-01-17
"522","Kadina Motocross Club","58 SMITH AVENUE","WALLAROO MINES","SA",5554,"kadinamxclub@yahoo.com.au",-33.97601,137.69649,"Motorcycling","http://kadinamotoxclub.com/",2003-10-07
"523","Hahndorf Softball Club Incorporated","249 OLD PRINCES HIGHWAY","LITTLEHAMPTON","SA",5250,"president@hahndorfsoftball.com",-35.0442,138.87588,"Softball","www.hahndorfsoftball.com",1976-10-26
"524","Acacia Gold Vaulting Club","259 HAMILTONS ROAD","SPRINGTON","SA",5235,"sarah.hocking@adelaide.edu.au",-34.7084,139.11408,"Equestrian","",1998-03-06
"525","United Football Club","11 RIDLEY ROAD","LONG PLAINS","SA",5501,"unitedfc@sanflcfl.com.au",-34.36278,138.37615,"Australian Rules","",1971-10-09
"526","Penfield Golf Club","32-34 WOOMERA AVENUE","EDINBURGH","SA",5111,"secretary@penfieldgolfclub.com.au",-34.74311,138.6428,"Golf","www.penfieldgolfclub.com.au",1961-07-10
"527","Renmark Hockey Club","25 CHILTON ROAD","BERRI","SA",5343,"renmarkhockey@gmail.com",-34.27993,140.61408,"Hockey","https://sitedesq.imgstg.com/site/index.cfm?fuseaction=display_main&OrgID=11636",1961-02-24
"528","Gawler Rangers Baseball Club","140 ANGLE VALE ROAD","EVANSTON GARDENS","SA",5116,"gawlerrangersbaseballclub@gmail.com",-34.62535,138.71434,"Baseball","www.facebook.com/grbcofficial",2000-02-15
"529","Jervois Bluds Netball Club","11 WILLIAM STREET","JERVOIS","SA",5259,"mdohnt@coorong.sa.gov.au",-35.26538,139.43552,"Netball","",1959-10-10
"530","Langhorne Creek Football Sports and Social Club","LOT 30 MURRAY ROAD","LANGHORNE CREEK","SA",5255,"langhornecreekfc@adam.com.au",-35.29843,139.02879,"Australian Rules","www.langhornecreekfc.com.au",1967-07-16
"531","Southern Districts Baseball Club","63 COPERNICUS ROAD","CHRISTIE DOWNS","SA",5164,"admin@sdbc.com.au",-35.1282,138.49423,"Baseball","www.sdbc.com.au",1986-11-17
"532","Thevenard Sports and Community Centre","2 PENNA STREET","THEVENARD","SA",5690,"thevenardscc@hotmail.com",-32.145,133.6518,"Australian Rules,Netball,Tennis","http://www.foxsportspulse.com/club_info.cgi?c=1-6622-101654-0-0",2001-02-01
"533","Fulham United Football Club","1 CHATSWOOD CRESCENT","KIDMAN PARK","SA",5025,"romeo@odv.com.au",-34.91316,138.52041,"Football (Soccer)","fulhamunited.com.au",1965-12-19
"534","Renmark Hockey Club","LOT 40 NINETEENTH STREET","RENMARK","SA",5341,"renmarkhockey@gmail.com",-34.17165,140.7404,"Hockey","https://sitedesq.imgstg.com/site/index.cfm?fuseaction=display_main&OrgID=11636",1973-02-08
"535","Yorke Peninsula Dirt Kart Club","copper coast highway","kadina","SA",NA,"tony@coppercitysigns.com.au",-33.9482,137.66504,"Motor Sport","www.ypdkc.com",1968-09-14
"536","Northern Districts Calisthenics Club","19 WILTSHIRE STREET","SALISBURY","SA",5108,"secretary@northerndistrictscalisthenicsclub.com",-34.7623,138.64764,"Calisthenics","northerndistrictscalisthenicsclub.com",1977-08-10
"537","Blue Lake Public Golf Links","LOT 346 GRANT AVENUE","MOORAK","SA",5291,"lakes.caddy.shack@bigpond.com",-37.84392,140.75508,"Golf","bluelakepublicgolflinks.com.au",1999-06-08
"538","Playford Wells Hockey Club","LOT 1001 VINCENT ROAD","SMITHFIELD PLAINS","SA",5114,"playfordwellshockey@yahoo.com",-34.67796,138.66987,"Hockey","www2.playfordwellshockeyclub.com.au",1969-07-26
"539","Morphett Vale Netball Club","LOT 150 MAIN SOUTH ROAD","MORPHETT VALE","SA",5162,"matbac@esc.net.au",-35.12777,138.52481,"Netball","www.morphettvalemagicnetballclub.com",1989-06-23
"540","Wudinna United Netball Club","43 MEDLEY TERRACE","WUDINNA","SA",5652,"td.jdklante@bigpond.com",-33.04587,135.46357,"Netball","",1985-06-12
"541","Burnside Tennis Club","46 LOCKWOOD ROAD","ERINDALE","SA",5066,"burnsidetennisclub.com",-34.93158,138.66439,"Tennis","www.burnsidetennis.com",1964-08-19
"542","Ironbank Cherry Gardens Football Club","660 ACKLAND HILL ROAD","CHERRY GARDENS","SA",5157,"johnrosman@internode.on.net",-35.05289,138.68121,"Australian Rules","www.ironbankfootball.com.au",1953-08-16
"543","Suttontown Tennis Club","93 PINE HALL AVENUE","SUTTONTOWN","SA",5291,"molly1990@internode.on.net",-37.79832,140.77383,"Tennis","",1978-02-19
"544","The Parks Swimming Club","19 COWAN STREET","ANGLE PARK","SA",5010,"theparkssc@gmail.com",-34.859,138.55852,"Swimming","http://theparks.swimming.org.au",1967-01-05
"545","Barossa District Football and Netball Club","15 SPRINGTON ROAD","WILLIAMSTOWN","SA",5351,"footy@juniordoggies.com.au",-34.67338,138.90273,"Australian Rules","http://www.foxsportspulse.com/club_info.cgi?c=1-6704-88186-0-0",1965-07-26
"546","Seacliff Hockey Club","1 LUCY MAY DRIVE","SEACLIFF","SA",5049,"junior@shc.org.au",-35.03912,138.5235,"Hockey","www.shc.org.au",1986-12-01
"547","Boston Football Club","LOT 302 MATTHEW PLACE","PORT LINCOLN","SA",5606,"craig@eyretankmakers.com.au",-34.73026,135.86518,"Australian Rules","",1979-07-22
"548","Modbury Hawks Netball Club","LOT 138 GAMES STREET","GOLDEN GROVE","SA",5125,"modburyhawksnetball@gmail.com",-34.78854,138.69883,"Netball","modburyhawksnc.com",1952-09-17
"549","Nuriootpa Netball Club","6 PENRICE ROAD","NURIOOTPA","SA",5355,"",-34.4685,138.99992,"Netball","www.nuriootpanetballclub.com.au",1988-07-02
"550","Strathalbyn Football Club","4 QUEEN STREET","STRATHALBYN","SA",5255,"secretary@strathfootyclub.com.au",-35.26067,138.88506,"Australian Rules","www.strathfootyclub.com.au",1989-09-06
"551","Freeling Football Club","40 HANSON STREET","FREELING","SA",5372,"freelingjuniorswebsite@hotmail.com",-34.45564,138.81457,"Australian Rules","http://www.foxsportspulse.com/club_info.cgi?clubID=117340&c=1-8155-0-0-0",1970-05-22
"552","Gawler Calisthenic Club","89-91 MURRAY STREET","GAWLER","SA",5118,"gawlercali@gmail.com",-34.59933,138.74936,"Calisthenics","www.gawlercalisthenicsclub.com",1952-12-26
"553","Pegasus Pony Club","171-191 GREENWITH ROAD","GOLDEN GROVE","SA",5125,"golden.flash@live.com",-34.78553,138.72846,"Pony Clubs","www.pegasusponyclub",1961-03-26
"554","Crystal Brook Hockey Club","7 BOWMAN STREET EX","CRYSTAL BROOK","SA",5523,"thegulins@gmail.com",-33.3492,138.21097,"Hockey","",1973-07-16
"555","Hope Valley Tennis and Netball Club","926 LOWER NORTH EAST ROAD","HIGHBURY","SA",5089,"bharding@senet.com.au",-34.85642,138.69171,"Tennis","",2003-03-28
"556","Crystal Brook Lawn Tennis Club","LOT 804 EDMUND TERRACE","CRYSTAL BROOK","SA",5523,"rachnianjones@bigpond.com",-33.35585,138.21072,"Tennis","",1959-11-24
"557","Tanunda Hockey Club","LOT 368 CARRARA HILL ROAD","STOCKWELL","SA",5355,"rd.pfeiffer@bigpond.com",-34.44117,139.05938,"Hockey","",1961-12-16
"558","John Wesley Tennis Club","LOT 11 CORONATION ROAD","STRATHALBYN","SA",5255,"clittlejohn1@bigpond.com",-35.26027,138.88719,"Tennis","",1992-03-23
"559","Penola and Districts Little Athletics Centre","24 RIDDOCH STREET","PENOLA","SA",5277,"andi.zerk714@schools.sa.edu.au",-37.38461,140.82209,"Athletics","",1990-11-19
"560","Glenelg Lacrosse Club","LOT 2 MILITARY ROAD","WEST BEACH","SA",5024,"treasurer@glenelglacrosse.com.au",-34.94816,138.50775,"Lacrosse","glenelglacrosses.com",1990-02-18
"561","Moonta Tennis Club","LOT 41 MILNE TERRACE","MOONTA","SA",5558,"Jag.johnstone@bigpond.com",-34.06683,137.58316,"Tennis","",1965-08-23
"562","Port Adelaide Tennis Club","118 WOOLNOUGH ROAD","LARGS BAY","SA",5016,"g.pearson@adam.com.au",-34.8327,138.48807,"Tennis","http://www.portadelaidetennisclub.com",1999-04-26
"563","Norwood Swimming Club","273 THE PARADE","BEULAH PARK","SA",5067,"scott@infront.com.au",-34.9205,138.64516,"Swimming","http://www.norwoodswimmingclub.com.au",1970-09-10
"564","Imperial Football Club","LOT 1 ADELAIDE ROAD","MURRAY BRIDGE","SA",5253,"larissa.dammann@daishsat.com",-35.12616,139.26231,"Australian Rules,Cricket,Darts","http://www.impfc.com.au/",1978-09-10
"565","Imperial Football Club","110-118 ADELAIDE ROAD","MURRAY BRIDGE","SA",5253,"larissa.dammann@daishsat.com",-35.12619,139.26081,"Australian Rules,Cricket,Darts","http://www.impfc.com.au/",1958-02-11
"566","Plympton Sporting and Recreation Club","2 MILTON AVENUE","PLYMPTON PARK","SA",5038,"clubmanager@plymptonbulldogs.com.au",-34.97326,138.54694,"Australian Rules,Cricket,Football (Soccer)","http://www.plymptonbulldogs.com.au",1969-01-11
"567","Ungarra and Districts Community Sports Club","407 MOODY CENTRE ROAD","UNGARRA","SA",5607,"ungarracomplex@gmail.com",-34.13283,136.01652,"Australian Rules,Cricket,Netball,Tennis","",1956-12-04
"568","Mount Barker Football Club","2 ALEXANDRINA ROAD","MOUNT BARKER","SA",5251,"roonews@mountbarkerfootballclub.org.au",-35.07475,138.86174,"Australian Rules","http://www.mountbarkerfootballclub.org.au",1994-06-05
"569","Edwardstown Junior Sports Club","LOT 1 EAST TERRACE","SOUTH PLYMPTON","SA",5038,"edwardstownjuniorsc@gmail.com",-34.98177,138.56412,"Cricket","",1972-02-16
"570","Western Sharks Swimming Club","1 WILFORD AVENUE","SEATON","SA",5023,"dorothy.nycz@health.sa.gov.au",-34.90251,138.51381,"Swimming","http://westernsharks.swimming.org.au/",1974-08-19
"571","Ingle Farm Squash Club","UNIT 2 58 BEOVICH ROAD","INGLE FARM","SA",5098,"grant@ballingarry.com",-34.83244,138.64888,"Squash","",2002-01-22
"572","Seaford Rise Cricket Club","621-631 GRAND BOULEVARD","SEAFORD","SA",5169,"Cath.Kennedy@bigpond.com",-35.18433,138.47992,"Cricket","",1981-04-18
"573","Clarendon Netball Club","LOT 642 NICOLLE ROAD","CLARENDON","SA",5157,"Christine.rose3@bigpond.com",-35.11092,138.62939,"Netball","",1985-03-25
"574","Seaford Rise Cricket Club","9 NORSEMAN STREET","PORT NOARLUNGA SOUTH","SA",5167,"Cath.Kennedy@bigpond.com",-35.17478,138.46991,"Cricket","",2005-03-26
"575","Modbury Sporting Club Inc","LOT 6 HAZEL GROVE","RIDGEHAVEN","SA",5097,"modburysportingclub@bigpond.com.au",-34.82082,138.69758,"Australian Rules,Cricket,Darts","http://www.modburyhawks.org.au",1994-04-04
"576","Blackwood Tennis Club","1 CUMMING STREET","CRAIGBURN FARM","SA",5051,"thesamms@adam.com.au",-35.0321,138.62007,"Tennis","http://www.blackwoodtennis.org.au",1966-09-13
"577","Strathalbyn Softball Club","9-25 CORONATION ROAD","STRATHALBYN","SA",5255,"bjjmsmith@hotkey.net.au",-35.26031,138.88606,"Softball","",1977-04-27
"578","Onkaparinga Valley Junior Football Club","112 ONKAPARINGA VALLEY ROAD","BALHANNAH","SA",5242,"andrew.thompson@voice.net.au",-34.98929,138.83013,"Australian Rules","http://www.onkas.com.au",1997-03-22
"579","Padthaway Netball Club","9 MEMORIAL DRIVE","PADTHAWAY","SA",5271,"padthawaynetballclub@hotmail.com",-36.60184,140.49316,"Netball","http://www.padthaway.sa.netball.com.au",1999-05-09
"580","Para Hills East Junior Soccer Club","6 MURRELL ROAD","PARA HILLS","SA",5096,"treasurer@phesc.net",-34.81016,138.66072,"Football (Soccer)","http://www.phesc.net",1956-11-27
"581","River Murray Rambler Netball Club","LOT 27 RAMSAY STREET","MURRAY BRIDGE","SA",5253,"ramblernetballclub@live.com.au",-35.12138,139.26542,"Netball","",1975-01-22
"582","Fitzroy Community Club","3 SWAN COURT","RENOWN PARK","SA",5008,"secretary@fitzroyjuniorssa.com.au",-34.8924,138.57864,"Australian Rules,Cricket","http://www.fitzroyjuniorssa.com.au",1956-02-12
"583","Kapunda Bowling Club","7B WHITE STREET","KAPUNDA","SA",5373,"kapundabowlingclub@gmail.com",-34.34096,138.91772,"Bowls","http://kapundabowlingclub.bowls.au",1975-09-05
"584","Solly Cats Softball Club","LOT 7 KINGSTON ROAD","PORT PIRIE SOUTH","SA",5540,"vdeed58@bigpond.com",-33.20349,138.00618,"Softball","",1979-10-05
"585","Tanunda Netball Club","LOT 100 PARK STREET","TANUNDA","SA",5352,"tanundanetball@bigpond.com",-34.52097,138.95664,"Netball","http://tanunda.sa.netball.com.au",1961-05-28
"586","Mount Pleasant Tennis Club","LOT 643 TALUNGA PARK ROAD","MOUNT PLEASANT","SA",5235,"middlethorpepark@iprimus.com.au",-34.77259,139.04951,"Tennis","",1960-10-12
"587","Macclesfield Softball Club","10 DAVIES STREET","MACCLESFIELD","SA",5153,"lions.sandra@gmail.com",-35.16981,138.83058,"Softball","http://macclesfieldsoftballclub@gmail.com",1968-02-08
"588","Macclesfield Softball Club","13 KINGROSE STREET","MACCLESFIELD","SA",5153,"lions.sandra@gmail.com",-35.16849,138.83294,"Softball","http://macclesfieldsoftballclub@gmail.com",1987-08-24
"589","Holdfast Bay Rhythmic Gymnastics","8 COLTON AVENUE","HOVE","SA",5048,"holdfastbayrg@gmail.com",-35.01224,138.52,"Gymnastics","http://holdfastbayrg.gymnastics.org.au",1961-03-25
"590","Kapunda Netball Club","LOT 810 COGHILL STREET","KAPUNDA","SA",5373,"sarahbrett14@bigpond.com",-34.33849,138.90698,"Netball","",1981-09-20
"591","Eyre Gymnastics Club","Beach Road","Whyalla","SA",NA,"shyaleedavidson@gmail.com",-33.04385,137.58204,"Gymnastics","",1956-06-26
"592","Goolwa and Port Elliot Football Club","21 DAWSON STREET","GOOLWA","SA",5214,"scct@bigpond.com",-35.50329,138.78086,"Australian Rules","http://www.foxsportspulse.com/club_info.cgi?c=0-6233-92502-0-0",1977-01-02
"593","Risdon Hockey Club","Wandearah Rd","Port Pirie SA 5540","SA",NA,"zoobys@bigpond.com",-33.20645,138.00948,"Hockey","",1992-02-11
"594","South Gawler Netball Club","LOT 110 DAWSON ROAD","EVANSTON","SA",5116,"southgawlernetball@gmail.com",-34.62386,138.73145,"Netball","",1993-12-28
"595","Kapunda Tennis Club","LOT 810 COGHILL STREET","KAPUNDA","SA",5373,"kapundatennisclub@gmail.com",-34.33848,138.90684,"Tennis","",2005-01-22
"596","Waikerie Swimming Club","24 BLAKE ROAD","WAIKERIE","SA",5330,"waikerieswimmingclub@gmail.com",-34.18468,139.97464,"Swimming","",1995-02-27
"597","Bridgewater Callington Raiders Football Club","390 MOUNT BARKER ROAD","BRIDGEWATER","SA",5155,"sneezer@internode.on.net",-35.01009,138.75846,"Australian Rules","http://www.bridgewaterraiders.org.au/",1952-12-24
"598","Woods Panthers Netball Club","LOT 100 COROMANDEL PARADE","BLACKWOOD","SA",5051,"info@woodspanthers.com.au",-35.0313,138.61967,"Netball","http://www.woodspanthers.com.au",1973-01-25
"599","Jeremy Edwards","LOT 1 ANZAC HIGHWAY","NOVAR GARDENS","SA",5040,"jeremye31@gmail.com",-34.97461,138.53286,"Tennis","",1999-01-20
"600","Echunga Tennis Club","802 ECHUNGA ROAD","ECHUNGA","SA",5153,"lizziehughes@bigpond.com",-35.09773,138.79086,"Tennis","",1962-12-13
"601","Port Lincoln Netball Association","25 WINDSOR AVENUE","PORT LINCOLN","SA",5606,"plna@plna.com.au",-34.74218,135.85344,"Netball","http://plna.sa.netball.com.au/",1973-08-23
"602","Jem Calisthenics College","17-19 BROOKFIELD AVENUE","BURTON","SA",5110,"soniamaguire@bigpond.com",-34.74154,138.59663,"Calisthenics","http://www.jemcalisthenicscollege.com",1988-06-05
"603","Gaza Sports and Community Club","232-238 NORTH EAST ROAD","KLEMZIG","SA",5087,"gazajuniors@outlook.com",-34.87635,138.63083,"Australian Rules,Cricket,Darts,Eight-Ball","http://gazajfc.com.au",2001-09-24
"604","Super Tennis","LOT 11 EAST PARADE","KINGSWOOD","SA",5062,"supertennis@adam.com.au",-34.97257,138.61596,"Tennis","",1974-11-03
"605","Super Tennis","27 AVENUE ROAD","HIGHGATE","SA",5063,"supertennis@adam.com.au",-34.96331,138.62259,"Tennis","",1997-03-06
"606","Super Tennis","LOT 7 HAY ROAD","LINDEN PARK","SA",5065,"supertennis@adam.com.au",-34.94775,138.64617,"Tennis","",1950-08-04
"607","Super Tennis","DANKEL AVENUE","KENSINGTON","SA",5068,"supertennis@adam.com.au",-34.92474,138.64828,"Tennis","",1972-02-16
"608","Super Tennis","9 MURRAYS HILL ROAD","FLAGSTAFF HILL","SA",5159,"supertennis@adam.com.au",-35.05708,138.61602,"Tennis","",1999-08-17
"609","Super Tennis","344 UNLEY ROAD","UNLEY PARK","SA",5061,"supertennis@adam.com.au",-34.95944,138.60761,"Tennis","",1966-07-06
"610","Super Tennis","55 PICCADILLY ROAD","CRAFERS","SA",5152,"supertennis@adam.com.au",-34.9935,138.71313,"Tennis","",1963-07-01
"611","Super Tennis","LOT 102 CAMPUS DRIVE","ABERFOYLE PARK","SA",5159,"supertennis@adam.com.au",-35.06808,138.59345,"Tennis","",1997-10-15
"612","Super Tennis","6-10 BALHANNAH ROAD","HAHNDORF","SA",5245,"supertennis@adam.com.au",-35.02859,138.81183,"Tennis","",1975-04-09
"613","Para Hills Tennis Club","51-65 LIBERMAN ROAD","PARA HILLS","SA",5096,"parahillstennisclub@gmail.com",-34.80492,138.65752,"Tennis","http://www.tennis.com.au/parahillstc/",1962-06-22
"614","Super Tennis","HIGHGATE STREET","HIGHGATE","SA",5063,"supertennis@adam.com.au",-34.95889,138.62066,"Tennis","",1963-01-02
"615","Super Tennis","51 BRAESIDE ROAD","STIRLING","SA",5152,"supertennis@adam.com.au",-35.00181,138.73471,"Tennis","",1991-07-01
"616","Super Tennis","596 MAGILL ROAD","MAGILL","SA",5072,"supertennis@adam.com.au",-34.91358,138.67745,"Tennis","",1988-02-19
"617","Super Tennis","3 FISHER STREET","MYRTLE BANK","SA",5064,"supertennis@adam.com.au",-34.95721,138.63734,"Tennis","",1958-06-12
"618","Super Tennis","SEYMOUR STREET","EDEN HILLS","SA",5050,"supertennis@adam.com.au",-35.02515,138.60566,"Tennis","",1963-01-20
"619","Super Tennis","7 NORMAN WALK","MITCHAM","SA",5062,"supertennis@adam.com.au",-34.98012,138.62023,"Tennis","",1954-10-27
"620","Port Adelaide Cricket Club","16 BAYNES PLACE","PORT ADELAIDE","SA",5015,"kate.rush9@gmail.com",-34.8501,138.50492,"Cricket","http://www.pacc.net.au",2004-04-19
"621","Blue Lake Y Swim Club","5A MARGARET STREET","MOUNT GAMBIER","SA",5290,"blysecretary@gmail.com",-37.83209,140.7749,"Swimming","http://www.bluelakeyswimclub.com.au",1997-11-10
"622","Central Baseball Club","Blue Lake Sports Park, Jubilee Highway East","Mount Gambier","SA",NA,"Centralbaseballclub@hotmail.com.au",-37.845,140.82076,"Baseball","",1962-02-19
"623","Blue Lake Y Swim Club","1 KEEGAN STREET","MOUNT GAMBIER","SA",5290,"blysecretary@gmail.com",-37.82813,140.78599,"Swimming","http://www.bluelakeyswimclub.com.au",1995-08-09
