"Club_Name","Club_Venue_Address","Club_Venue_Suburb","Club_Venue_State","Club_Venue_Postcode","Club_Venue_Email","Club_Venue_Latitude ","Club_Venue_Longitude","Club_Venue_Sports","Club_Venue_Website"
"Southern Hills Pony Club","8 LIPSON CLOSE","WILLUNGA","SA","5172","mlbakker5@bigpond.com","-35.268990000000002","138.55122","Equestrian","http://www.freewebs.com/shpcwillunga/"
"Whyalla Lions Soccer Club","LOT 2 WILSDON STREET","WHYALLA PLAYFORD","SA","5600","richard.winkless@onesteel.com","-33.025460000000002","137.55803","Football (Soccer)",""
"Mount Gambier and District Little Athletics Club","39 BROWNES ROAD","MOUNT GAMBIER","SA","5290","littleathsmtg@gmail.com","-37.826340000000002","140.76483999999999","Athletics","https://mgdlac.wordpress.com/"
"Northern Yorke Peninsula Pony Club","98 MARSHALL ROAD","MOONTA MINES","SA","5558","nypponyclub@gmail.com","-34.072859999999999","137.59862000000001","Equestrian","nypponyclub-com.webs.com"
"Snowtown Tennis Club","LOT 853 NORTH TERRACE","SNOWTOWN","SA","5520","berniekeech@bigpond.com","-33.778219999999997","138.21684999999999","Tennis",""
"Hills Little Athletics Centre","21 HENDER ROAD","HEATHFIELD","SA","5153","info@hlac.org.au","-35.018450000000001","138.7141","Athletics","www/hlac.org.au"
"East Adelaide Payneham Tennis Club","13A ROSELLA STREET","PAYNEHAM","SA","5070","eaptenniaclub@gmail.com","-34.89855","138.64293000000001","Tennis","www.eaptennisclub.net"
"Keith Netball Club","5 MEMORIAL AVENUE","KEITH","SA","5267","katie.manser@hotmail.com","-36.101010000000002","140.35037","Netball",""
"Clearview Tennis Club","23 STAFFORD STREET","CLEARVIEW","SA","5085","","-34.852499999999999","138.61297999999999","Tennis","http://www.tennis.com.au/clearviewtennisclub"
"Burnside Lacrosse Club","LOT 105 HAY ROAD","LINDEN PARK","SA","5065","adellewcraig@gmail.com","-34.946280000000002","138.65126000000001","Lacrosse",""
"Kingston Saints Netball Club","40 EAST TERRACE","KINGSTON SE","SA","5275","kingstonsaintsnetballclub@hotmail.com","-36.836539999999999","139.85632000000001","Netball",""
"Port Pirie Amateur Swimming Club","LOT 1108 MARY ELIE STREET","PORT PIRIE","SA","5540","portpirieswimclub@hotmail.com","-33.182760000000002","138.00717","Swimming","portpirie.swimming.org.au"
"Glencoe Netball Club","7 KIRIP ROAD","GLENCOE","SA","5291","donnaedwards@hotmail.com.au","-37.669840000000001","140.58054999999999","Netball",""
"Gladstone Tennis Club","16221 HORROCKS HIGHWAY","GLADSTONE","SA","5473","gladstonetennisci@gmail.com","-33.2759","138.35471000000001","Tennis",""
"West Torrens Lacrosse Sports Club","104-120 CHURCHILL ROAD","PROSPECT","SA","5082","Juniorrep@eagleslax.com.au","-34.889060000000001","138.58449999999999","Lacrosse","Eagleslax.com.au"
"Hatherleigh Netball Club","LOT 1000 CALCOOLAT TERRACE","HATHERLEIGH","SA","5280","hatherleighnetballclub@yahoo.com.au","-37.487560000000002","140.27627000000001","Netball","http://hatherleighsport.com.au/"
"Kapunda Football Club","LOT 16 MONTEFIORE STREET","KAPUNDA","SA","5373","kapundafc@sanflcfl.com.au","-34.337229999999998","138.90593999999999","Australian Rules,Netball","www.bombers.com.au"
"YMCA of SA","2 HOWARD LANE","MOUNT BARKER","SA","5251","mtbarkergymnastics@ymca.org.au","-35.077869999999997","138.86232999999999","Gymnastics","http://www.sa.ymca.org.au/"
"Henley Heat Soccer Club","72A MARLBOROUGH STREET","HENLEY BEACH","SA","5022","awoneill@adam.com.au","-34.912489999999998","138.50324000000001","Football (Soccer)",""
"The Playford Aquatic Club","LOT 27 ELIZABETH WAY","ELIZABETH","SA","5112","pac.thepresident@gmail.com","-34.722140000000003","138.66609","Swimming","www.playford-aquatic.com.au"
"Murray Bridge Calisthenics Club","33-37 FLORENCE STREET","MURRAY BRIDGE","SA","5253","murraybridgecalisthenicsclub@gmail.com","-35.12021","139.26624000000001","Calisthenics","https://www.facebook.com/#!/pages/Murray-Bridge-Calisthenics-Club/507973165895598"
"Murray Bridge Calisthenics Club","UNIT 19 51-57 OWL DRIVE","MURRAY BRIDGE","SA","5253","murraybridgecalisthenicsclub@gmail.com","-35.147709999999996","139.28915000000001","Calisthenics","https://www.facebook.com/#!/pages/Murray-Bridge-Calisthenics-Club/507973165895598"
"Grange Royals Hockey Club","LOT 34 FORT STREET","GRANGE","SA","5022","secretary@grangeroyals.org.au","-34.897120000000001","138.49126999999999","Hockey","www.grangeroyals.org.au"
"RSMU Football Club","LOT 122 BRUCE ROAD","RIVERTON","SA","5412","footballtreasurer@rsmu.com.au","-34.154049999999998","138.74888000000001","Australian Rules",""
"Renmark Dirt Kart Club","19695 STURT HIGHWAY","OLD CALPERUM","SA","5341","","-34.220660000000002","140.67520999999999","Motor Sport","www.renmarkdirtkartclub.com"
"Karoonda Districts Netball Club","LOT 201 STOKES ROAD","KAROONDA","SA","5307","mel.huxtable@hotmail.com","-35.095509999999997","139.89196000000001","Netball",""
"Victor Harbor Netball Club","LOT 332 GEORGE MAIN ROAD","VICTOR HARBOR","SA","5211","victorharbornetballclub@live.com.au","-35.557279999999999","138.61238","Netball","www.victorharbornetballclub.com"
"Souths United Netball Club","LOT 101 WINDSOR AVENUE","PORT LINCOLN","SA","5606","southunitednc@y7mail.com","-34.742809999999999","135.85411999999999","Netball","south united facebook page"
"The Go Kart Club Of SA","3711 OLD PRINCES HIGHWAY","ROCKY GULLY","SA","5254","contact@gokartclubofsa.com","-35.120060000000002","139.17311000000001","Motor Sport","www.gokartclubofsa.com"
"Barossa United Junior Soccer Club","6 PENRICE ROAD","NURIOOTPA","SA","5355","","-34.468899999999998","139.00063","Football (Soccer)","http://www.barossaunited.com.au"
"Rangers Junior Soccer Club","36B JENNINGS DRIVE","ASHTON","SA","5137","brendandaw1@bigpond.com","-34.945700000000002","138.73177000000001","Football (Soccer)","rangerssc.com.au"
"Tanjule Rhythmic Gymnastics Club","15 GLEDSDALE ROAD","HALLETT COVE","SA","5158","tanjulerg@gmail.com","-35.077440000000003","138.51176000000001","Gymnastics","www.tanjulerg.com"
"Cummins Rambler Netball Club","3-5 SLATERS COURT","CUMMINS","SA","5631","jamesandaimee@internode.on.net","-34.263030000000001","135.72566","Netball",""
"YMCA of SA","48 CARDIGAN STREET","ANGLE PARK","SA","5010","parksrsc@ymca.org.au","-34.855960000000003","138.56061","Swimming","http://www.sa.ymca.org.au/"
"Nuriootpa Hockey Club","LOT 156 DUCK PONDS ROAD","STOCKWELL","SA","5355","nuriootpahc@barossahockey.com","-34.432490000000001","139.04906","Hockey","www.nuriootpahockey.com"
"YMCA of SA","39 MAXWELL TERRACE","GLENGOWRIE","SA","5044","glengowrie@ymca.org.au","-34.979660000000003","138.52943999999999","Boxing,Gymnastics","http://www.sa.ymca.org.au/"
"YMCA of SA","91 MILLS STREET","WHYALLA NORRIE","SA","5608","kate.edwards@sa.ymca.org.au","-33.037129999999998","137.54183","Swimming","http://www.sa.ymca.org.au/"
"YMCA of SA","LOT 27 ELIZABETH WAY","ELIZABETH","SA","5112","samantha.wharton@ymca.org.au","-34.72213","138.66574","Swimming","http://www.sa.ymca.org.au/"
"Barossa Valley - Nuriootpa Little Athletics Centre","1-3 PENRICE ROAD","NURIOOTPA","SA","5355","committee@bvlac.org.au","-34.467959999999998","139.00060999999999","Athletics","www.bvlac.org.au"
"NRL South Australia","8 REGENCY ROAD","KILKENNY","SA","5009","kkennedy@nrl.com.au ","-34.875689999999999","138.55170000000001","Rugby League","www.sarugbyleague.com.au "
"Port Augusta Netball Association","LOT 7 POWER CRESCENT","PORT AUGUSTA","SA","5700","paneball@outlook.com","-32.495469999999997","137.78949","Netball","www.pana.netball.asn.au"
"Vicis Netball Club","5A MARGARET STREET","MOUNT GAMBIER","SA","5290","info@vicisnetball.com.au","-37.832129999999999","140.77440999999999","Netball","www.vicisnetball,com.au"
"NRL South Australia","2 MCKENZIE ROAD","ELIZABETH DOWNS","SA","5113","cdjrl_roosters@hotmail.com","-34.701169999999998","138.68387000000001","Rugby League","www.centraldistricts.leaguenet.com.au"
"NRL South Australia","LOT 31 FLAME AVENUE","DRY CREEK","SA","5094","Peter.Best@coles.com.au ","-34.83878","138.58619999999999","Rugby League","http://www.foxsportspulse.com/club_info.cgi?client=1-2119-19926-0-0"
"Lock Football Club","5-7 NORTH TERRACE","LOCK","SA","5633","jdalsiviour@activ8.net.au","-33.564439999999998","135.75477000000001","Australian Rules,Netball",""
"NRL South Australia","LOT 450 SIXTH AVENUE","WOODVILLE GARDENS","SA","5012","jaworskis7@bigpond.com","-34.867420000000003","138.55222000000001","Rugby League","www.henleyraidersrugbyleagueclub.com/"
"Adelaide Croatia Raiders Junior Soccer Club","LOT 12 MAIN NORTH ROAD","GEPPS CROSS","SA","5094","","-34.839239999999997","138.61412000000001","Football (Soccer)","www.croatiaraiders.com.au"
"NRL South Australia","6 MURRAY DRIVE","RIVERGLADES","SA","5253","lanamarsters@hotmail.com ","-35.103470000000002","139.28999999999999","Rugby League","www.rivercityknights.leaguenet.com.au"
"Zodiacs Basketball Club","3A HOWARD LANE","MOUNT BARKER","SA","5251","zodiacsbasketball@gmail.com","-35.075000000000003","138.86219","Basketball","http://www.foxsportspulse.com/club_info.cgi?c=0-79-57029-0-0&sID=248214"
"NRL South Australia","849 MARION ROAD","MITCHELL PARK","SA","5043","growlerthetiger@hotmail.com","-35.003720000000001","138.55838","Rugby League","www.tigers.leaguenet.com.au"
"Cheerio Netball Club","165 RAILWAY TERRACE","KESWICK TERMINAL","SA","5035","secretary@cheeriophoenix.org.au","-34.931660000000001","138.57669000000001","Netball","cheeriophoenix.org.au"
"NRL South Australia","LOT 450 SIXTH AVENUE","WOODVILLE GARDENS","SA","5012","debbiemayhew75@gmail.com","-34.867310000000003","138.5523","Rugby League","www.woodvillepanthers.leaguenet.com.au"
"NRL South Australia","LOT 9 BRITAIN DRIVE","PORT NOARLUNGA SOUTH","SA","5167","Anthony.Goldsmith@wingfieldtimber.com.au ","-35.15802","138.47678999999999","Rugby League","www.southadelaide.leaguenet.com.au "
"Wallaroo Netball Club","LOT 2308 CORNISH TERRACE","WALLAROO","SA","5556","lyndave27@gmail.com","-33.936950000000003","137.62616","Netball",""
"Edithburgh Golf Club","LOT 645 ANSTEY TERRACE","EDITHBURGH","SA","5583","edithburghgolfclub@gmail.com","-35.082549999999998","137.74297999999999","Golf","edithburghgolfclub@gmail.com"
"Broughton Mundoora Football Club","LOT 523 EAST TERRACE","PORT BROUGHTON","SA","5522","mcdspb13@bigpond.com","-33.599319999999999","137.93450999999999","Australian Rules",""
"Broughton Mundoora Football Club","LOT 945 WEST TERRACE","MUNDOORA","SA","5555","","-33.595089999999999","138.08111","Australian Rules",""
"Aldinga sharks Soccer Club","LOT 11 QUINLIVEN ROAD","ALDINGA BEACH","SA","5173","aldingasoccerclub@bigpond.com","-35.268920000000001","138.46234999999999","Football (Soccer)","www.aldingasoccerclub.weebly.com"
"Salisbury North Junior Football Club","39-41 BAGSTER ROAD","SALISBURY NORTH","SA","5108","salisnthfootballclub@bigpond.com","-34.753230000000002","138.63317000000001","Australian Rules","SNFC.com.au"
"Cheng's Taekwondo Ohdokwan / Ohdokwan Taekwondo International","72-74 EAST AVENUE","BLACK FOREST","SA","5035","alanchengtkd@yahoo.com.au","-34.960389999999997","138.58086","Taekwondo",""
"Cheng's Taekwondo Ohdokwan / Ohdokwan Taekwondo International","2 MONTANA DRIVE","HAPPY VALLEY","SA","5159","craigrw3@live.com.au","-35.079949999999997","138.55270999999999","Taekwondo",""
"Campbelltown City Soccer and Social Club","LOT 43 STRADBROKE ROAD","NEWTON","SA","5074","ccsc.juniors@live.com.au","-34.884650000000001","138.6891","Football (Soccer)","http://campbelltowncsc.org.au/"
"Port Adelaide District Baseball Club","43A BOWER ROAD","SEMAPHORE SOUTH","SA","5019","padbc@hotmail.com","-34.84966","138.48258000000001","Baseball","www.padbc.com.au"
"Torrens Valley Little Athletics Centre","30 SHANNON STREET","BIRDWOOD","SA","5234","tvlacinc@gmail.com","-34.821849999999998","138.95726999999999","Athletics","www.tvlac.org.au"
"Balaklava Football Club","LOT 1 WEROCATA ROAD","BALAKLAVA","SA","5461","alane@balco.com.au","-34.14349","138.41130000000001","Australian Rules","www.peckers.com.au"
"Milang Regatta Club","LOT 324 PADDLESTEAMER DRIVE","MILANG","SA","5256","pshorty@iprimus.com.au","-35.409100000000002","138.97325000000001","Sailing","http://www.foxsportspulse.com/assoc_page.cgi?c=1-10468-0-0-0&sID=332937"
"United Yeelanna Football Club","7 ARCHIE GRIFFITHS ROAD","KARKOO","SA","5632","unitedyeelannafc@sanflcfl.com.au","-34.032020000000003","135.73053999999999","Australian Rules",""
"INEA YMCA","LOT 82 SMITH STREET","WALKERVILLE","SA","5081","customerservice@ineaymca.asn.au","-34.894559999999998","138.61703","Gymnastics","http://www.inea.ymca.org.au/"
"Nuriootpa Cricket Club","13 PENRICE ROAD","NURIOOTPA","SA","5355","nuriootpacc@hotmail.com","-34.467640000000003","139.00282999999999","Cricket",""
"Desert Dirt Kart Club","LOT 726 OPAL ROAD","ROXBY DOWNS","SA","5725","thomaswilson_69@live.com.au","-30.546220000000002","136.88616999999999","Motor Sport",""
"Riding for the Disabled Association SA","4 COULTHARD STREET","NURIOOTPA","SA","5355","","-34.46452","138.99226999999999","Equestrian","WWW.RDASA.org.au"
"Riding for the Disabled Association SA","LOT 5 PINE ROAD","WOODCROFT","SA","5162","rdajbf@tbg.com.au","-35.098950000000002","138.57136","Equestrian","WWW.rdasa.org.au"
"Riding for the Disabled Association SA","LOT 91 EARLE ROAD","SUNNYBRAE","SA","5422","rdamountgambier@hotmail.com","-33.0214","138.76553999999999","Equestrian","www.rdasa.org.au"
"Riding for the Disabled Association SA","1 COOLIBAH DRIVE","MURRAY BRIDGE EAST","SA","5253","","-35.10727","139.30418","Equestrian","WWW.rdasa.org.au"
"Riding for the Disabled Association SA","201-203 RYANS ROAD","GLOBE DERBY PARK","SA","5110","","-34.783740000000002","138.59125","Equestrian","www.rdasa.org.au"
"Riding for the Disabled Association SA","LOT 52 SHILLABEER ROAD","OAKBANK","SA","5243","","-34.964170000000003","138.84546","Equestrian","www.rdasa.org.au"
"Riding for the Disabled Association SA","107 MAIN SOUTH ROAD","O'HALLORAN HILL","SA","5158","","-35.068739999999998","138.55522999999999","Equestrian","www.rdasa.org.au"
"Riding for the Disabled Association SA","182-184 PROPER BAY ROAD","PORT LINCOLN","SA","5606","","-34.765979999999999","135.82732999999999","Equestrian","www.rdasa.org.au"
"Riding for the Disabled Association SA","LOT 64 PARALLA STREET","PORT PIRIE WEST","SA","5540","","-33.18262","137.99002999999999","Equestrian","www.rdasa.org.au"
"Riding for the Disabled Association SA","342 MORITZ ROAD","BLEWITT SPRINGS","SA","5171","riverland@rdasa.org.au","-35.180700000000002","138.60369","Equestrian","www.rdasa.org.au"
"Riding for the Disabled Association SA","15 LIPIZZANER DRIVE","HINDMARSH VALLEY","SA","5211","","-35.51708","138.62121999999999","Equestrian","www.rdasa.org.au"
"Riding for the Disabled Association SA","5 RACECOURSE ROAD","WHYALLA NORRIE","SA","5608","admin@rdaWhyalla.com","-33.029089999999997","137.53775999999999","Equestrian","www.rdasa.org.au"
"Riding for the Disabled Association SA","LOT LT 193 WALLAROO ROAD","MOONTA","SA","5558","","-34.06183","137.58555000000001","Equestrian","www.rdasa.org.au"
"Onkaparinga Rugby Union Football Club","LOT 1 STATES ROAD","MORPHETT VALE","SA","5162","onkarugby@gmail.com","-35.120930000000001","138.54330999999999","Rugby Union","onkas.rugbynet.com.au"
"Paracombe Pony and Equestrian Club","415 PARACOMBE ROAD","PARACOMBE","SA","5132","rosed@onestream.com.au","-34.847389999999997","138.78546","Pony Clubs","www.paracombeponyclub.org.au/"
"Northern District Golf SA","38-48 HAMILTON ROAD","PORT AUGUSTA WEST","SA","5700","","-32.478630000000003","137.73849999999999","Golf",""
"Northern District Golf SA","LOT 30 NORTH TERRACE","STIRLING NORTH","SA","5710","","-32.500599999999999","137.83584999999999","Golf",""
"Northern District Golf SA","11 EAST TERRACE","QUORN","SA","5433","","-32.347700000000003","138.04597999999999","Golf",""
"Millicent and District International Basketball Association","LOT 1 PLUNKETT TERRACE","MILLICENT","SA","5280","jenpete@adam.com.au","-37.595939999999999","140.33953","Basketball","www.millicent.basketball.net.au"
"Para Hills Football and Sports Club","LOT 100 BRIDGE ROAD","PARA HILLS WEST","SA","5096","parahills@footymail.com","-34.812420000000003","138.64123000000001","Australian Rules",""
"Northern District Golf SA","golf course","jamestown","SA","","","-33.163040000000002","138.59358","Golf",""
"Northern District Golf SA","LOT 521 BONDOWIE STREET","GLADSTONE","SA","5473","","-33.267539999999997","138.37010000000001","Golf",""
"Northern District Golf SA","109 WILDS ROAD","WIRRABARA","SA","5481","","-33.040579999999999","138.28425999999999","Golf",""
"Northern District Golf SA","LOT 104 WEST TERRACE","LAURA","SA","5480","","-33.177590000000002","138.29479000000001","Golf",""
"Northern District Golf SA","LOT 31 BINNEY ROAD","CRYSTAL BROOK","SA","5523","","-33.367800000000003","138.20289","Golf",""
"Northern District Golf SA","LOT 1 ELLEN STREET","PORT PIRIE","SA","5540","","-33.171199999999999","138.00879","Golf",""
"Northern District Golf SA","696 YOUNGS ROAD","PORT BROUGHTON","SA","5522","","-33.709409999999998","137.90467000000001","Golf",""
"Northern District Golf SA","LOT 60 YACKA-ANDREWS ROAD","YACKA","SA","5470","","-33.567889999999998","138.47627","Golf",""
"Northern District Golf SA","LOT 336 WILLOWIE ROAD","ORROROO","SA","5431","","-32.73415","138.60454999999999","Golf",""
"Northern District Golf SA","LOT 132 FINDLAY TERRACE","BOOLEROO CENTRE","SA","5482","","-32.87988","138.34053","Golf",""
"Northern District Golf SA","8-10 MARIA TERRACE","WILMINGTON","SA","5485","","-32.653829999999999","138.09608","Golf",""
"Northern District Golf SA","LOT 30 PARK STREET","PETERBOROUGH","SA","5422","","-32.964820000000003","138.83732000000001","Golf",""
"South Australian Ice Skating Association","23 JAMES CONGDON DRIVE","THEBARTON","SA","5031","admin@saisa.org.au","-34.919649999999997","138.57812999999999","Ice Skating","saisa.org.au"
"German Arms Basketball Club","2 Howard Lane","Mt Barker","SA","","germanarms76@gmail.com","-35.077869999999997","138.86232999999999","Basketball","http://www.foxsportspulse.com/club_info.cgi?c=1-79-57039-0-0&sID=207781"
"Tea Tree Gully Athletics Centre","LOT 6 STEVENTON DRIVE","BANKSIA PARK","SA","5091","secretary@ttgathletics.com.au","-34.810020000000002","138.72735","Athletics","http://www.ttgathletics.com.au/"
"Meadows Football Club","71 MAWSON ROAD","MEADOWS","SA","5201","meadowsfcpresident@gmail.com","-35.180669999999999","138.76079999999999","Australian Rules","http://www.foxsportspulse.com/club_info.cgi?client=1-6621-93482-0-0"
"Ladybirds Netball Club","LOT 1 STATES ROAD","MORPHETT VALE","SA","5162","shazandsim@bigpond.com","-35.12124","138.54338999999999","Netball","ladybirdsnetball.com"
"Murray Bridge Amateur Swimming Club","38 ADELAIDE ROAD","MURRAY BRIDGE","SA","5253","rjbal@internode.on.net","-35.121589999999998","139.27030999999999","Swimming",""
"Port Adelaide Cycling Club","LOT 95 MAIN NORTH ROAD","GEPPS CROSS","SA","5094","committee@pacc.org.au","-34.841180000000001","138.61243999999999","Cycling","www.pacc.org.au"
"Port Adelaide Cycling Club","LOT 1 EAST TERRACE","SOUTH PLYMPTON","SA","5038","committee@pacc.org.au","-34.98124","138.56429","Cycling","www.pacc.org.au"
"Blyth Snowtown Netball Club","LOT 479 SOUTH TERRACE","BLYTH","SA","5462","blythsnowtownnetballclub@gmail.com","-33.849530000000001","138.48988","Netball","http://www.blyth-snowtown-cats.com.au/"
"Blyth Snowtown Netball Club","LOT 853 NORTH TERRACE","SNOWTOWN","SA","5520","blythsnowtownnetballclub@gmail.com","-33.777949999999997","138.21704","Netball","http://www.blyth-snowtown-cats.com.au/"
"The Barossa Rams Rugby Club","2 BAROSSA VALLEY WAY","LYNDOCH","SA","5351","barossarams@gmail.com","-34.598419999999997","138.88586000000001","Rugby Union","www.pitchero.com/clubs/barossaramsrugbyclub/"
"Mid South East Dressage Club","171 SMITH STREET","NARACOORTE","SA","5271","secretary@msedc.org.au","-36.953699999999998","140.74778000000001","Equestrian","www.msedc.org.au"
"Uraidla Districts Football Club","5 SWAMP ROAD","URAIDLA","SA","5142","admin@uraidlafc.com","-34.971449999999997","138.73472000000001","Australian Rules","Uraidla districts Football Club"
"Ports Football and Netball Club","LOT 321 TEL EL KEBIR TERRACE","ARNO BAY","SA","5603","Neville.kitson@bigpond.com","-33.910209999999999","136.56361999999999","Australian Rules,Netball",""
"Ports Football and Netball Club","19 CHALMERS ROAD","PORT NEILL","SA","5604","Neville.kitson@bigpond.com","-34.119509999999998","136.33741000000001","Australian Rules,Netball",""
"CJ's Netball Club","LOT 2801 MILNE TERRACE","MOONTA","SA","5558","smithchristine@adam.com.au","-34.066940000000002","137.58385999999999","Netball",""
"North Haven Surf Life Saving Club","1 SOUTH AUSTRALIA ONE DRIVE","NORTH HAVEN","SA","5018","administrator@northhavenslsc.com.au","-34.781100000000002","138.48403999999999","Surf Lifesaving","www.northhavenslsc.com.au"
"United Taekwondo Centre","UNIT 1-6 23 BEAFIELD ROAD","PARA HILLS WEST","SA","5096","dangvn@adam.com.au","-34.79795","138.64474999999999","Taekwondo","www.unitedtkd.com.au"
"Lobethal Football Club","4 ONKAPARINGA STREET","LOBETHAL","SA","5241","shanes@kwik-kopy.com.au","-34.911149999999999","138.87446","Australian Rules",""
"Eastern Park Football Club","LOT 4 MOSTERTON ROAD","ELIZABETH PARK","SA","5113","epfc@bigpond.com","-34.708599999999997","138.69803999999999","Australian Rules","www.epfc.com.au"
"North Adelaide Basketball Club","419 NORTH EAST ROAD","HILLCREST","SA","5086","","-34.865859999999998","138.64393999999999","Basketball",""
"Goolwa Netball Club","18 HALLETT STREET","KADINA","SA","5554","sarah.kay@alexandrina.sa.gov.au","-33.960830000000001","137.71177","Netball","www.goolwanetballclub.com"
"Koorana Gymnastics Club","226 OAKLANDS ROAD","MORPHETTVILLE","SA","5043","Barnes.b2@bigpond.com","-34.995339999999999","138.54518999999999","Gymnastics",""
"Berri District Youth Club","LOT 465 ZANTE ROAD","BERRI","SA","5343","bdycgymnastics@hotmail.com","-34.279559999999996","140.59977000000001","Gymnastics","www.bdyc.gymnastics.org.au"
"Wilderness Lacrosse Club","50 HAWKERS ROAD","MEDINDIE","SA","5081","jthurgood@wilderness.com.au","-34.896769999999997","138.60805999999999","Lacrosse",""
"Yorke Peninsula Soccer Association","LOT 1913 BLANCHE TERRACE","MOONTA","SA","5558","Kirsty.Amos372@schools.sa.edu.au","-34.072180000000003","137.59004999999999","Football (Soccer)",""
"Yorke Peninsula Soccer Association","LOT LT E GOVT ROAD","WARBURTO","SA","5556","Kirsty.Amos372@schools.sa.edu.au","-34.0032","137.53986","Football (Soccer)",""
"Woodville Glengarry Tennis Club","LOT 20 OVAL AVENUE","WOODVILLE SOUTH","SA","5011","sharkev@ozemail.com.au","-34.888210000000001","138.53824","Tennis",""
"Port Lincoln Golf Club","495 FLINDERS HIGHWAY","BOSTON","SA","5607","plgolf@bigpond.com","-34.693640000000002","135.80744999999999","Golf","www.plgc.com.au"
"Happy Valley Cricket Club","LOT 98 TAYLORS ROAD","ABERFOYLE PARK","SA","5159","gavpip@gmail.com","-35.072629999999997","138.59118000000001","Australian Rules,Cricket,Darts,Softball","www.hvcc.sa.cricket.com.au"
"Cove Tigers Netball Club","2-8 BROOKLYN DRIVE","HALLETT COVE","SA","5158","contact@covenetballclub.com.au","-35.086570000000002","138.50776999999999","Netball","www.covenetballclub.com.au"
"Brighton Lacrosse Club","3 HIGHET AVENUE","BRIGHTON","SA","5048","secretary@brightonlacrosse.com.au","-35.015790000000003","138.52373","Lacrosse","www.brightonlacrosse.com.au"
"Lenswood Ranges Cricket Club","277A SWAMP ROAD","LENSWOOD","SA","5240","alexander.barnes@sa.gov.au","-34.954430000000002","138.80004","Cricket","https://www.facebook.com/LenswoodRangesCricketClub"
"Morphettville Park Junior Football Club","LOT 61 DENHAM AVENUE","MORPHETTVILLE","SA","5043","info@mpscroos.com.au","-34.989060000000002","138.54169999999999","Australian Rules,Cricket,Netball","http://www.mpscroos.com.au"
"Hamley Bridge Netball Club","1 STOCKPORT ROAD","HAMLEY BRIDGE","SA","5401","hbnc.secretary@gmail.com","-34.354280000000003","138.68016","Netball","www.hamleybridgenetballclub.com"
"Edwardstown Bowling Club","93 RAGLAN AVENUE","SOUTH PLYMPTON","SA","5038","secretary.ebc@adam.com.au","-34.980530000000002","138.56363999999999","Bowls",""
"Morphett Vale Youth Club","66 COLLINS PARADE","HACKHAM","SA","5163","gibbsnr@tpg.com.au","-35.139189999999999","138.5333","Gymnastics","mvyouth.club"
"Echunga Netball Club","LOT 155 ALDGATE-STRATHALBYN ROAD","ECHUNGA","SA","5153","echunganetball@internode.on.net","-35.095010000000002","138.79041000000001","Netball",""
"Athletics South Australia","145 RAILWAY TERRACE","MILE END SOUTH","SA","5031","info@athleticssa.com.au","-34.929470000000002","138.57805999999999","Athletics","www.athleticssa.com.au"
"Kingscote Football Club","LOT 130 CENTENARY AVENUE","KINGSCOTE","SA","5223","kingscotefc@sanflcfl.com.au","-35.648980000000002","137.63312999999999","Australian Rules",""
"Moana Surf Life Saving Club","LOT 1 ESPLANADE","MOANA","SA","5169","treasurer@moanaslsc.com.au","-35.197969999999998","138.47039000000001","Surf Lifesaving","www.moanaslsc.com.au"
"Gawler BMX Club","LOT 22 GAWLER RIVER ROAD","WILLASTON","SA","5118","gawlerbmx@gmail.com","-34.589829999999999","138.73578000000001","BMX","http://www.bmxsa.com.au/gawler"
"Roxby Downs Netball Association","LOT 100 RICHARDSON PLACE","ROXBY DOWNS","SA","5725","","-30.560680000000001","136.89242999999999","Netball",""
"Bridgewater Netball Club","5 ANZAC RIDGE ROAD","BRIDGEWATER","SA","5155","bridgewaternetballclub@gmail.com","-35.011209999999998","138.76039","Netball","bridgewater.sa.netball.com.au"
"Kangaroo Island Netball Association","LOT 1 DAW STREET","PARNDANA","SA","5220","kimsimon@bigpond.net.au","-35.785580000000003","137.26067","Netball",""
"Kangaroo Island Netball Association","13 NORTH CAPE ROAD","BAY OF SHOALS","SA","5223","skyeowen@bigpond.com","-35.62744","137.5581","Netball",""
"Kangaroo Island Netball Association","6481 PLAYFORD HIGHWAY","GOSSE","SA","5223","samdanielleshort@hotmail.com","-35.794890000000002","136.97784999999999","Netball",""
"Kangaroo Island Netball Association","LOT 990 MIDDLE TERRACE","PENNESHAW","SA","5222","dudleyunitednetballclub@gmail.com","-35.718640000000001","137.93833000000001","Netball",""
"Kangaroo Island Netball Association","LOT 130 CENTENARY AVENUE","KINGSCOTE","SA","5223","tnctoyz@westnet.com.au","-35.64875","137.63245000000001","Netball",""
"Flinders Park (Junior) Football Club","LOT 28 RAWLINGS AVENUE","FLINDERS PARK","SA","5025","junior.secretary@fpfc.com.au","-34.9114","138.53727000000001","Australian Rules","www.fpfc.com.au"
"The Grove Tennis Club","LOT 47 OLDHAM ROAD","ELIZABETH SOUTH","SA","5112","satennis@bigpond.com","-34.746200000000002","138.66171","Tennis",""
"Willaston Netball Club","LOT 21 GAWLER RIVER ROAD","WILLASTON","SA","5118","president@willastonnetballclub.com.au","-34.589919999999999","138.73415","Netball",""
"Fleurieu Swimming Club","117 SHERRIFFS ROAD","REYNELLA","SA","5161","secretary@fleurieusc.org.au","-35.104799999999997","138.52351999999999","Swimming","fleurieusc.org.au"
